"name","venue","venue_address","date","time","venue_city","event_url","description","picture","price"
"Friday Morning Leads Group","Chandler Chamber of Commerce","25 S. Arizona Pl, Suite 201","4/13/2018","None","Chandler","http://business.chandlerchamber.com/events/details/friday-morning-leads-group-04-13-2018-14614","None","None","-1"
"Public Policy Series","Chandler Chamber of Commerce","25 S. Arizona Pl, Suite 201","4/13/2018","None","Chandler","http://business.chandlerchamber.com/events/details/public-policy-series-20509","None","None","-1"
"Spring Fling Festival of Fun!","Chandler Chamber of Commerce","25 S. Arizona Pl, Suite 201","4/14/2018","None","Chandler","http://business.chandlerchamber.com/events/details/spring-fling-festival-of-fun-32579","None","None","-1"
"Spring Fling Festival of Fun!","Chandler Chamber of Commerce","25 S. Arizona Pl, Suite 201","4/14/2018","None","Chandler","http://business.chandlerchamber.com/events/details/spring-fling-festival-of-fun-04-14-2018-32580","None","None","-1"
"STEM Saturday - Electricity: May the Spark be With You","Chandler Chamber of Commerce","25 S. Arizona Pl, Suite 201","4/14/2018","None","Chandler","http://business.chandlerchamber.com/events/details/stem-saturday-electricity-may-the-spark-be-with-you-19181","None","None","-1"
"WHAMs 5th Annual Recycle Arts Festival and Fashion Show","Chandler Chamber of Commerce","25 S. Arizona Pl, Suite 201","4/14/2018","None","Chandler","http://business.chandlerchamber.com/events/details/wham-s-5th-annual-recycle-arts-festival-and-fashion-show-20952","None","None","-1"
"Corvettes in the Park ","Chandler Chamber of Commerce","25 S. Arizona Pl, Suite 201","4/14/2018","None","Chandler","http://business.chandlerchamber.com/events/details/corvettes-in-the-park-33606","None","None","-1"
"Chandler Craft Spirits Festival","Chandler Chamber of Commerce","25 S. Arizona Pl, Suite 201","4/14/2018","None","Chandler","http://business.chandlerchamber.com/events/details/chandler-craft-spirits-festival-04-14-2018-20943","None","None","-1"
"Internet Appreciation Day","Chandler Chamber of Commerce","25 S. Arizona Pl, Suite 201","4/15/2018","None","Chandler","http://business.chandlerchamber.com/events/details/internet-appreciation-day-32568","None","None","-1"
"Monday Morning Leads Group","Chandler Chamber of Commerce","25 S. Arizona Pl, Suite 201","4/16/2018","None","Chandler","http://business.chandlerchamber.com/events/details/monday-morning-leads-group-04-16-2018-15844","None","None","-1"
"Education & Work Force Coalition Committee Meeting  ","Chandler Chamber of Commerce","25 S. Arizona Pl, Suite 201","4/16/2018","None","Chandler","http://business.chandlerchamber.com/events/details/education-work-force-coalition-committee-meeting-04-16-2018-18912","None","None","-1"
"Tuesday Morning Leads Group Chandler Chamber","Chandler Chamber of Commerce","25 S. Arizona Pl, Suite 201","4/17/2018","None","Chandler","http://business.chandlerchamber.com/events/details/tuesday-morning-leads-group-chandler-chamber-04-17-2018-19439","None","None","-1"
"Women In Leadership Luncheon - April 2018","Chandler Chamber of Commerce","25 S. Arizona Pl, Suite 201","4/17/2018","None","Chandler","http://business.chandlerchamber.com/events/details/women-in-leadership-luncheon-april-2018-11564","None","None","-1"
" Wednesday Morning Leads Group Chandler Chamber","Chandler Chamber of Commerce","25 S. Arizona Pl, Suite 201","4/18/2018","None","Chandler","http://business.chandlerchamber.com/events/details/wednesday-morning-leads-group-chandler-chamber-04-18-2018-9876","None","None","-1"
"From Mission to Strategic plan to Programs, Are you effective?","Chandler Chamber of Commerce","25 S. Arizona Pl, Suite 201","4/18/2018","None","Chandler","http://business.chandlerchamber.com/events/details/from-mission-to-strategic-plan-to-programs-are-you-effective-33617","None","None","-1"
"Wednesday Lunch Leads Group","Chandler Chamber of Commerce","25 S. Arizona Pl, Suite 201","4/18/2018","None","Chandler","http://business.chandlerchamber.com/events/details/wednesday-lunch-leads-group-04-18-2018-16269","None","None","-1"
" Wednesday-Ocotillo Lunch Leads Group Chandler Chamber ","Chandler Chamber of Commerce","25 S. Arizona Pl, Suite 201","4/18/2018","None","Chandler","http://business.chandlerchamber.com/events/details/wednesday-ocotillo-lunch-leads-group-chandler-chamber-04-18-2018-19864","None","None","-1"
"Board of Directors Monthly Meeting","Chandler Chamber of Commerce","25 S. Arizona Pl, Suite 201","4/18/2018","None","Chandler","http://business.chandlerchamber.com/events/details/board-of-directors-monthly-meeting-04-18-2018-5341","None","None","-1"
" Thursday Morning Leads Group Chandler Chamber","Chandler Chamber of Commerce","25 S. Arizona Pl, Suite 201","4/19/2018","None","Chandler","http://business.chandlerchamber.com/events/details/thursday-morning-leads-group-chandler-chamber-04-19-2018-20299","None","None","-1"
"A Cup of Joey","Chandler Chamber of Commerce","25 S. Arizona Pl, Suite 201","4/19/2018","None","Chandler","http://business.chandlerchamber.com/events/details/a-cup-of-joey-04-19-2018-20719","None","None","-1"
"Thursday Lunch Leads Group Chandler Chamber ","Chandler Chamber of Commerce","25 S. Arizona Pl, Suite 201","4/19/2018","None","Chandler","http://business.chandlerchamber.com/events/details/thursday-lunch-leads-group-chandler-chamber-04-19-2018-10075","None","None","-1"
"Chandler Farmers Market","Chandler Chamber of Commerce","25 S. Arizona Pl, Suite 201","4/19/2018","None","Chandler","http://business.chandlerchamber.com/events/details/chandler-farmers-market-33610","None","None","-1"
"Business After Business ","Chandler Chamber of Commerce","25 S. Arizona Pl, Suite 201","4/19/2018","None","Chandler","http://business.chandlerchamber.com/events/details/business-after-business-20510","None","None","-1"
"Leadership Institute","Chandler Chamber of Commerce","25 S. Arizona Pl, Suite 201","4/20/2018","None","Chandler","http://business.chandlerchamber.com/events/details/leadership-institute-04-20-2018-11830","None","None","-1"
"Friday Morning Leads Group","Chandler Chamber of Commerce","25 S. Arizona Pl, Suite 201","4/20/2018","None","Chandler","http://business.chandlerchamber.com/events/details/friday-morning-leads-group-04-20-2018-14615","None","None","-1"
"Dinner and Wine night ","Chandler Chamber of Commerce","25 S. Arizona Pl, Suite 201","4/20/2018","None","Chandler","http://business.chandlerchamber.com/events/details/dinner-and-wine-night-33632","None","None","-1"
"The Great Southwest Cajun Fest","Chandler Chamber of Commerce","25 S. Arizona Pl, Suite 201","4/21/2018","None","Chandler","http://business.chandlerchamber.com/events/details/the-great-southwest-cajun-fest-33607","None","None","-1"
"Monday Morning Leads Group","Chandler Chamber of Commerce","25 S. Arizona Pl, Suite 201","4/23/2018","None","Chandler","http://business.chandlerchamber.com/events/details/monday-morning-leads-group-04-23-2018-15845","None","None","-1"
"Tuesday Morning Leads Group Chandler Chamber","Chandler Chamber of Commerce","25 S. Arizona Pl, Suite 201","4/24/2018","None","Chandler","http://business.chandlerchamber.com/events/details/tuesday-morning-leads-group-chandler-chamber-04-24-2018-19440","None","None","-1"
"Coffee with the Mayor 2018","Chandler Chamber of Commerce","25 S. Arizona Pl, Suite 201","4/24/2018","None","Chandler","http://business.chandlerchamber.com/events/details/coffee-with-the-mayor-2018-20511","None","None","-1"
"Passion Statement Workshop: Be Concise, Direct and Tell It Like It Is!","Chandler Chamber of Commerce","25 S. Arizona Pl, Suite 201","4/24/2018","None","Chandler","http://business.chandlerchamber.com/events/details/passion-statement-workshop-be-concise-direct-and-tell-it-like-it-is-32573","None","None","-1"
